CAR NAME,BRAND,LOCATION,PRICE (INR),FUEL TYPE,TRANSMISSION,KM DRIVEN,MANUFACTURE YEAR
2016 Renault DusterPetrol RxE,Renault, Jharkhand ,360000,Petrol,Manual,65000,2016
2024 Toyota RumionV,Toyota, Jharkhand ,1400000,Petrol,Manual,10000,2024
2018 Maruti BalenoAlpha,Maruti,Chhattisgarh ,475000,Petrol,Manual,107452,2018
2017 Maruti Swift DzireAMT ZXI,Maruti,Chhattisgarh ,499000,Petrol,Automatic,58458,2017
2022 Hyundai VenueS BSVI,Hyundai,Chhattisgarh ,811000,Petrol,Manual,30000,2022
2024 Nissan MagniteN Connecta,Nissan,Chhattisgarh ,800000,Petrol,Manual,10000,2024
2024 Renault TriberRXL,Renault,Chhattisgarh ,660000,Petrol,Manual,20000,2024
2008 Mahindra Renault Logan1.4 GLX,Mahindra,Chhattisgarh ,90000,Petrol,Manual,70000,2008
2013 Hyundai i10Sportz 1.1L,Hyundai,Chhattisgarh ,250000,Petrol,Manual,70000,2013
2016 Maruti SwiftVXI,Maruti,Chhattisgarh ,375000,Petrol,Manual,90000,2016
2017 Honda WR-Vi-DTEC VX,Honda,Chhattisgarh ,560000,Diesel,Manual,70000,2017
2017 Jeep Compass2.0 Longitude Option BSIV,Jeep,Chhattisgarh ,670000,Diesel,Manual,70000,2017
2019 Maruti S CrossDelta DDiS 200 SH,Maruti,Chhattisgarh ,600000,Diesel,Manual,150000,2019
2023 Hyundai VenueSX,Hyundai,Chhattisgarh ,900000,Petrol,Manual,85000,2023
2023 Tata NexonXM,Tata,Chhattisgarh ,800000,Petrol,Manual,30000,2023
2023 Tata HarrierXT Plus,Tata,Chhattisgarh ,1650000,Diesel,Manual,30000,2023
2023 Renault TriberRXZ BSVI,Renault,Chhattisgarh ,650000,Petrol,Manual,50000,2023
2016 Hyundai Creta1.6 CRDi SX Option,Hyundai,Chhattisgarh ,700000,Diesel,Manual,120000,2016
2019 Hyundai Creta1.6 SX,Hyundai,Chhattisgarh ,900000,Petrol,Manual,45000,2019
2009 Maruti Alto 800LXi BSIII,Maruti,Chhattisgarh ,80000,Petrol,Manual,60000,2009
2020 Maruti Swift DzireVXI 1.2,Maruti,Chhattisgarh ,700000,Petrol,Manual,30000,2020
2014 Maruti ErtigaVDI,Maruti,Chhattisgarh ,500000,Diesel,Manual,98000,2014
2024 Hyundai CretaSX (O) Knight iVT,Hyundai,Odisha ,1650000,Petrol,Automatic,20000,2024
2022 Maruti Swift Dzire TourS,Maruti,Odisha ,540000,Petrol,Manual,54000,2022
2020 Honda WR-VSV,Honda,Odisha ,585000,Petrol,Manual,85000,2020
2017 Hyundai EONEra Plus,Hyundai,Odisha ,285000,Petrol,Manual,20431,2017
2021 Mahindra TharLX 4WD Hard Top Diesel AT BSVI,Mahindra,Odisha ,1400000,Diesel,Automatic,50000,2021
2019 BMW 6 SeriesGT 620d Luxury Line,BMW,Odisha ,3800000,Diesel,Automatic,50000,2019
2021 Hyundai i20Asta Opt BSVI,Hyundai,Odisha ,650000,Petrol,Manual,45000,2021
2020 Hyundai CretaSX Opt Turbo BSVI,Hyundai,Odisha ,1280000,Petrol,Automatic,38000,2020
2023 MG Hector Plus1.5 Turbo Savvy Pro CVT 7 Str BSVI,MG,Odisha ,2200000,Petrol,Automatic,40000,2023
2013 Hyundai i10Sportz,Hyundai,Odisha ,235000,Petrol,Manual,39792,2013
2018 Maruti Baleno1.2 CVT Zeta,Maruti,Odisha ,570000,Petrol,Automatic,43966,2018
2023 Mahindra TharLX Hard Top Diesel,Mahindra,Odisha ,1360000,Diesel,Manual,23000,2023
2022 Maruti Eeco5 Seater AC 2020-2022,Maruti,Odisha ,459999,Petrol,Manual,59000,2022
2019 Hyundai VenueSX Turbo BSIV,Hyundai,Odisha ,790000,Petrol,Manual,14800,2019
2019 Maruti SwiftVXI,Maruti,Odisha ,550000,Petrol,Manual,65000,2019
2021 Honda AmazeS i-VTEC,Honda,Odisha ,580000,Petrol,Manual,130241,2021
