Car Name,Brand,Location,Price (INR),Fuel Type,Transmission,Km Driven,Manufacture Year
2017 Honda Jazz1.2 VX i VTEC,Honda,Jharkhand,400000,Petrol,Manual,52144,2017
2006 Hyundai ElantraCRDi,Hyundai,Jharkhand,150000,Diesel,Manual,160000,2006
2018 Maruti Swift DzireVXI BSVI,Maruti,Jharkhand,560000,Petrol,Manual,41959,2018
2012 Maruti Swift DzireVDI,Maruti,Jharkhand,290000,Diesel,Manual,113000,2012
2022 Hyundai TucsonSignature Diesel AT BSVI,Hyundai,Jharkhand,2500000,Diesel,Automatic,36250,2022
2023 Tata SafariXZA AT BSVI,Tata,Jharkhand,1800000,Diesel,Automatic,80000,2023
2013 Volkswagen CrossPolo1.2 TDI,Volkswagen,Jharkhand,320000,Diesel,Manual,72000,2013
2015 Hyundai i20Sportz Option 1.4 CRDi,Hyundai,Jharkhand,345000,Diesel,Manual,157569,2015
2016 Maruti Wagon RAMT VXI,Maruti,Jharkhand,285000,Petrol,Automatic,74351,2016
2018 Ford FreestyleTrend Diesel BSIV,Ford,Jharkhand,350000,Diesel,Manual,70000,2018
2024 Tata NexonPure,Tata,Jharkhand,966000,Petrol,Manual,10000,2024
2003 Maruti Wagon RLX,Maruti,Jharkhand,0,Petrol,Manual,30000,2003
2016 Hyundai Grand i10Era,Hyundai,Jharkhand,350000,Petrol,Manual,80000,2016
2018 Maruti BalenoAlpha,Maruti,Chhattisgarh,475000,Petrol,Manual,107452,2018
2017 Maruti Swift DzireAMT ZXI,Maruti,Chhattisgarh,499000,Petrol,Automatic,58458,2017
2012 Chevrolet CruzeLTZ,Chevrolet,Chhattisgarh,140000,Diesel,Manual,80000,2012
2006 Maruti Alto 800LX BSIII,Maruti,Chhattisgarh,0,Petrol,Manual,90000,2006
2024 Renault TriberRXL,Renault,Chhattisgarh,660000,Petrol,Manual,20000,2024
2024 MG Comet EVExecutive,MG,Chhattisgarh,681000,Electric,Automatic,10000,2024
2016 Fiat Linea1.3 Multijet Active,Fiat,Chhattisgarh,225000,Diesel,Manual,120000,2016
2008 Mahindra Renault Logan1.4 GLX,Mahindra,Chhattisgarh,0,Petrol,Manual,70000,2008
2022 Jeep Compass2.0 Anniversary Edition 2021-2022,Jeep,Chhattisgarh,2300000,Diesel,Manual,30000,2022
2023 Hyundai Grand i10 NiosSportz,Hyundai,Chhattisgarh,610000,Petrol,Manual,10000,2023
2021 Maruti BalenoZeta,Maruti,Chhattisgarh,600000,Petrol,Manual,60000,2021
2018 Tata HexaXT,Tata,Chhattisgarh,800000,Diesel,Manual,120000,2018
2015 Maruti CiazVXi Plus,Maruti,Chhattisgarh,400000,Petrol,Manual,80000,2015
2019 Hyundai Creta1.4 E Plus,Hyundai,Chhattisgarh,750000,Diesel,Manual,70000,2019
2016 Maruti SwiftVXI,Maruti,Chhattisgarh,375000,Petrol,Manual,90000,2016
2016 Hyundai Creta1.6 CRDi SX Option,Hyundai,Chhattisgarh,700000,Diesel,Manual,120000,2016
2019 Kia SeltosGTX Plus,Kia,Chhattisgarh,1400000,Petrol,Manual,60000,2019
2017 Hyundai Xcent1.2 Kappa SX,Hyundai,Chhattisgarh,350000,Petrol,Manual,30000,2017
2013 Tata Safari StormeEX,Tata,Chhattisgarh,380000,Diesel,Manual,90000,2013
2019 Hyundai Creta1.6 VTVT SX Plus,Hyundai,Chhattisgarh,1000000,Petrol,Manual,20000,2019
2023 MG Hector Plus1.5 Turbo Savvy Pro CVT 7 Str BSVI,MG,Odisha,2200000,Petrol,Automatic,40000,2023
2019 Hyundai i20Petrol Asta Option,Hyundai,Odisha,585000,Petrol,Manual,26000,2019
2021 Mahindra ScorpioS3 Plus,Mahindra,Odisha,990000,Diesel,Manual,65000,2021
2022 Maruti CiazZeta BSVI,Maruti,Odisha,850000,Petrol,Manual,16000,2022
